FID,TIPO,DTIPO,NOME,EXTRA_RL,DEXTRA_RL,geometry
134,1,Stazione,S. FELICE SUL PANARO,2,Esterno confine regionale,POINT (669178.0846146852 4966649.76263466)
135,1,Stazione,RIVALTA SCRIVIA,2,Esterno confine regionale,POINT (485077.0949769526 4966609.65321915)
136,1,Stazione,VERDELLO-DALMINE,1,Interno  confine regionale,POINT (548224.6269270016 5050207.890335807)
137,1,Stazione,MONTELLO-GORLAGO,1,Interno  confine regionale,POINT (562983.5726730572 5057785.117082924)
138,1,Stazione,CHIUDUNO,1,Interno  confine regionale,POINT (565893.317855434 5055583.157726684)
139,1,Stazione,GRUMELLO DEL MONTE,1,Interno  confine regionale,POINT (567226.8201859219 5053865.196481467)
140,1,Stazione,ROVATO,1,Interno  confine regionale,POINT (577990.4883965589 5044817.354699464)
141,1,Stazione,TOLINE,1,Interno  confine regionale,POINT (584307.49565324 5070555.204939381)
142,1,Stazione,VELLO,1,Interno  confine regionale,POINT (584660.9282690189 5067329.755567446)
143,1,Stazione,SALE MARASINO,1,Interno  confine regionale,POINT (586689.342498363 5062591.851891972)
144,1,Stazione,SULZANO,1,Interno  confine regionale,POINT (585785.5778797548 5059868.419027376)
145,1,Stazione,BORGONATO,1,Interno  confine regionale,POINT (579493.9392746219 5052472.153226727)
146,1,Stazione,PASSIRANO,1,Interno  confine regionale,POINT (583032.9617756404 5049120.699934665)
147,1,Stazione,PADERNO FRANCIACORTA,1,Interno  confine regionale,POINT (584900.2801364859 5048717.1901518125)
148,1,Stazione,BORGO S.GIOVANNI,1,Interno  confine regionale,POINT (592907.1553450822 5044054.191900991)
149,1,Stazione,OSPITALETTO,1,Interno  confine regionale,POINT (583927.9289632776 5044212.796315527)
150,1,Stazione,CASALETTO VAPRIO,1,Interno  confine regionale,POINT (549378.2955919328 5028412.204444525)
151,1,Stazione,VIDALENGO,1,Interno  confine regionale,POINT (549925.3359056636 5040654.053405287)
152,1,Stazione,MORENGO-BARIANO,1,Interno  confine regionale,POINT (554723.0259335769 5041184.02669998)
153,1,Stazione,CALCIO,1,Interno  confine regionale,POINT (565549.3176117796 5042379.475684522)
154,1,Stazione,S.ZENO-FOLZANO,1,Interno  confine regionale,POINT (594587.1121921012 5038069.270098412)
155,1,Stazione,MONTIRONE,1,Interno  confine regionale,POINT (596981.065510094 5033736.792380422)
156,1,Stazione,GHEDI,1,Interno  confine regionale,POINT (600330.8563941045 5028998.296494247)
157,1,Stazione,PONTE S. MARCO-CALCINATO,1,Interno  confine regionale,POINT (610323.2858878064 5036641.60779239)
158,1,Stazione,CASTELNUOVO DEL GARDA,2,Esterno confine regionale,POINT (637694.7505657031 5032112.451687181)
159,1,Stazione,CALVISANO,1,Interno  confine regionale,POINT (605827.7104970147 5022062.302559806)
160,1,Stazione,SOMMACAMPAGNA,2,Esterno confine regionale,POINT (644318.5708125561 5031919.851201167)
161,1,Stazione,VERONA P.N.,2,Esterno confine regionale,POINT (653788.5685200025 5031980.2388015045)
162,1,Stazione,VERONA P. VESC.,2,Esterno confine regionale,POINT (654832.3072290886 5032327.730364241)
163,1,Stazione,ROVERBELLA,1,Interno  confine regionale,POINT (640934.5128831865 5012412.773789008)
164,1,Stazione,ROBECCO-PONTEVICO,1,Interno  confine regionale,POINT (584752.3942173095 5013317.179184691)
165,1,Stazione,REMEDELLO SOPRA,1,Interno  confine regionale,POINT (608192.3738119336 5014810.849535833)
166,1,Stazione,REMEDELLO SOTTO,1,Interno  confine regionale,POINT (608987.0981411389 5012494.862145791)
167,1,Stazione,CASALPUSTERLENGO,1,Interno  confine regionale,POINT (551247.8330589731 5003447.390286674)
168,1,Stazione,CODOGNO,1,Interno  confine regionale,POINT (555265.5217162448 5000247.394799881)
169,1,Stazione,MONTICELLI D' ONGINA,2,Esterno confine regionale,POINT (572954.3142751531 4990515.558933505)
170,1,Stazione,CASTELVETRO PIACENTINO,2,Esterno confine regionale,POINT (577332.2377301973 4994021.467572572)
171,1,Stazione,S. GIULIANO PIACENTINO,2,Esterno confine regionale,POINT (577739.0062339401 4990957.00813196)
172,1,Stazione,VILLANOVA D' ARDA,2,Esterno confine regionale,POINT (578539.0481097308 4986120.081953938)
173,1,Stazione,CASTIONE DEI MARCHESI,2,Esterno confine regionale,POINT (582566.2364948657 4973846.28426457)
174,1,Stazione,CAVA TIGOZZI,1,Interno  confine regionale,POINT (575045.6394685524 5000790.423313192)
175,1,Stazione,CADEO,2,Esterno confine regionale,POINT (567571.5911310407 4979373.795518703)
176,1,Stazione,ALSENO,2,Esterno confine regionale,POINT (578402.591218324 4971209.358770183)
177,1,Stazione,CASTELGUELFO,2,Esterno confine regionale,POINT (593172.5280644328 4965135.985831806)
178,1,Stazione,VILLETTA MALAGNINO,1,Interno  confine regionale,POINT (587323.001068464 4998766.7720539)
179,1,Stazione,MEZZANI RONDANI,2,Esterno confine regionale,POINT (610248.4087075845 4980063.988031025)
180,1,Stazione,TORRILE-S.POLO,2,Esterno confine regionale,POINT (607552.9110542026 4970832.77300728)
181,1,Stazione,CANNETO SULL' OGLIO,1,Interno  confine regionale,POINT (607891.0609211371 5000531.505976564)
182,1,Stazione,GUASTALLA,2,Esterno confine regionale,POINT (630782.5456045441 4975123.5421708645)
183,1,Stazione,SUZZARA-VIE NUOVE,1,Interno  confine regionale,POINT (640669.4935741463 4984238.274488815)
184,1,Stazione,SAN ROCCO MANTOVANO,1,Interno  confine regionale,POINT (658772.8702574387 4984555.325058118)
185,1,Stazione,GONZAGA-REGGIOLO,1,Interno  confine regionale,POINT (643205.0435058404 4977700.463374967)
186,1,Stazione,ROLO-NOVI-FABBRICO,2,Esterno confine regionale,POINT (647466.3025432995 4971738.146859657)
187,1,Stazione,SOLLIERA MODENESE,2,Esterno confine regionale,POINT (650927.1400931515 4953602.638051987)
188,1,Stazione,GAZZO DI BIGARELLO,1,Interno  confine regionale,POINT (648559.4633769742 5004201.328220064)
189,1,Stazione,RONCANOVA DI GAZZO VERONESE,2,Esterno confine regionale,POINT (664886.139390611 5000749.37099945)
190,1,Stazione,REVERE,1,Interno  confine regionale,POINT (667635.5703687496 4989523.681822064)
191,1,Stazione,VALLAZZA-CARBONARA PO,1,Interno  confine regionale,POINT (675224.9829928238 4985227.234036001)
192,1,Stazione,S.ANTONIO MANTOVANO,1,Interno  confine regionale,POINT (640268.7919822937 5005080.891795013)
193,1,Stazione,FELONICA PO,1,Interno  confine regionale,POINT (684338.066733933 4982333.182571543)
194,1,Stazione,ZERBINATE,2,Esterno confine regionale,POINT (686503.7682994525 4980427.690288702)
195,1,Stazione,STELLATA-FICAROLO,2,Esterno confine regionale,POINT (688723.7133273247 4977572.213668181)
196,1,Stazione,ZEME,1,Interno  confine regionale,POINT (471448.14674250653 5005592.41833693)
197,1,Stazione,TERRANOVA MONFERRATO,2,Esterno confine regionale,POINT (462344.80976674554 5000870.535898428)
198,1,Stazione,CASALE MONFERRATO,2,Esterno confine regionale,POINT (460076.77947184216 4995014.055958476)
199,1,Stazione,BORGO S.MARTINO,2,Esterno confine regionale,POINT (462232.3747904942 4992708.5320172515)
200,1,Stazione,GIAROLE,2,Esterno confine regionale,POINT (465529.09305734455 4989180.004861961)
201,1,Stazione,VILLABELLA,2,Esterno confine regionale,POINT (468534.4391930228 4987626.484001175)
202,1,Stazione,FRUGAROLO-BOSCO MARENGO,2,Esterno confine regionale,POINT (475114.1727685579 4965207.669312597)
203,1,Stazione,SERRAVALLE SCRIVIA,2,Esterno confine regionale,POINT (488832.89783831435 4952170.362343782)
204,1,Stazione,STAZZANO-SERRAVALLE,2,Esterno confine regionale,POINT (489530.384990847 4951609.849554238)
205,1,Stazione,ARQUATA SCRIVIA,2,Esterno confine regionale,POINT (490988.2277194458 4948615.824717249)
206,1,Stazione,RIGOROSO,2,Esterno confine regionale,POINT (492737.813404524 4945022.799966849)
207,1,Stazione,CASSANO SPINOLA,2,Esterno confine regionale,POINT (488896.89882869186 4956375.844076045)
208,1,Stazione,VILLAVERNIA,2,Esterno confine regionale,POINT (488606.1108041517 4961638.2394041885)
209,1,Stazione,CARBONARA SCRIVIA,2,Esterno confine regionale,POINT (488391.43928194756 4967347.116550208)
210,1,Stazione,S. GIULIANO PIEMONTE,2,Esterno confine regionale,POINT (481306.3382795184 4970695.069416354)
211,1,Stazione,CASTELLARO,1,Interno  confine regionale,POINT (476711.87108423025 4991613.893652826)
212,1,Stazione,VALLE LOMELLINA,1,Interno  confine regionale,POINT (475300.55883422366 4999848.383657301)
213,1,Stazione,GAMBOLO'-REMONDO',1,Interno  confine regionale,POINT (484294.9113492341 5009121.265763408)
214,1,Stazione,FERRERA LOMELLINA,1,Interno  confine regionale,POINT (489262.80786786973 4995332.329693839)
215,1,Stazione,SANNAZZARO,1,Interno  confine regionale,POINT (492380.8033014311 4994635.844050744)
216,1,Stazione,PARONA LOMELLINA,1,Interno  confine regionale,POINT (482628.1017540988 5014063.2614182765)
217,1,Stazione,S.GIULETTA,1,Interno  confine regionale,POINT (513950.8176817968 4986917.436409327)
218,1,Stazione,LUNGAVILLA,1,Interno  confine regionale,POINT (505299.41132157395 4988376.945715367)
219,1,Stazione,BRESSANA BOTTARONE,1,Interno  confine regionale,POINT (508764.8999510457 4992564.436994193)
220,1,Stazione,BRESSANA ARGINE,1,Interno  confine regionale,POINT (510748.8689002617 4991020.429982499)
221,1,Stazione,ZINASCO NUOVO,1,Interno  confine regionale,POINT (499995.0560989986 4996702.362326275)
222,1,Stazione,SAIRANO-ZINASCO,1,Interno  confine regionale,POINT (503709.55563960824 4998304.864956109)
223,1,Stazione,GROPELLO CAIROLI,1,Interno  confine regionale,POINT (499393.8135881216 5002043.802816599)
224,1,Stazione,VILLANOVA D'ARDENGHI,1,Interno  confine regionale,POINT (503234.5557995386 5000254.338516071)
225,1,Stazione,CAVA CARBONARA,1,Interno  confine regionale,POINT (505586.30368207645 4999248.862004238)
226,1,Stazione,PAVIA P.TA GARIBALDI,1,Interno  confine regionale,POINT (513087.22857538203 5003465.232904119)
227,1,Stazione,MOTTA S.DAMIANO,1,Interno  confine regionale,POINT (517346.8158287583 5002778.203271974)
228,1,Stazione,S.CRISTINA E BISSONE,1,Interno  confine regionale,POINT (531505.6736911427 5000847.599300627)
229,1,Stazione,LAMBRINIA,1,Interno  confine regionale,POINT (538787.1966960023 5000885.53665475)
230,1,Stazione,CERTOSA DI PAVIA,1,Interno  confine regionale,POINT (512090.39178787824 5011296.607214534)
231,1,Stazione,VILLAMAGGIORE,1,Interno  confine regionale,POINT (514852.78916812455 5018524.455681466)
232,1,Stazione,AIROLO,2,Esterno confine regionale,POINT (469822.47317053756 5152401.934390531)
233,1,Stazione,FAIDO,2,Esterno confine regionale,POINT (484077.44460300275 5147353.4010539055)
234,1,Stazione,BIASCA,2,Esterno confine regionale,POINT (497982.4964217607 5133266.754998288)
235,1,Stazione,BELLINZONA,2,Esterno confine regionale,POINT (501991.01806920837 5115446.33078756)
236,1,Stazione,CADENAZZO,2,Esterno confine regionale,POINT (496179.6303027998 5111091.978910782)
237,1,Stazione,ST. MORITZ,2,Esterno confine regionale,POINT (564530.0391405263 5149492.212823243)
238,1,Stazione,PONTRESINA,2,Esterno confine regionale,POINT (569371.8124343096 5148426.168871613)
239,1,Stazione,PALIDANO,1,Interno  confine regionale,POINT (640845.7375364478 4980343.885683052)
240,1,Stazione,VILLANOVA DI REGGIOLO,2,Esterno confine regionale,POINT (645689.8513552267 4974693.554779905)
241,1,Stazione,TERRASA,1,Interno  confine regionale,POINT (465597.55624627776 5002993.9949386595)
242,1,Stazione,COZZO,1,Interno  confine regionale,POINT (469247.9037189239 5003760.448831543)
243,1,Stazione,CASTELLO D' AGOGNA,1,Interno  confine regionale,POINT (475398.12758402084 5008264.362257144)
244,1,Stazione,PINAROLO PO',1,Interno  confine regionale,POINT (513441.5852518698 4991099.413951902)
245,1,Stazione,CORBETTA,1,Interno  confine regionale,POINT (492679.9870192616 5035900.477932084)
246,1,Stazione,MI-BULLONA,1,Interno  confine regionale,POINT (512656.0308964846 5037119.672221313)
247,1,Stazione,VAREDO,1,Interno  confine regionale,POINT (511419.9337396717 5049971.654605541)
248,1,Stazione,MARANO TICINO,2,Esterno confine regionale,POINT (470760.5877044265 5052960.959255597)
249,1,Stazione,VANZAGHELLO,1,Interno  confine regionale,POINT (482969.4552983293 5046289.989788028)
250,1,Stazione,BUSTO ARSIZIO N.,1,Interno  confine regionale,POINT (489124.0399721609 5051858.879277625)
251,1,Stazione,VENEGONO INFERIORE,1,Interno  confine regionale,POINT (491928.2185368543 5064968.266135512)
252,1,Stazione,CASBENO,1,Interno  confine regionale,POINT (485134.66481665993 5073667.145848533)
253,1,Stazione,TERNATE-VARANO BORGHI,1,Interno  confine regionale,POINT (476728.3602888791 5069927.6650585)
254,1,Stazione,AMBIVERE-MAPELLO,1,Interno  confine regionale,POINT (542734.95194691 5063492.124569153)
255,1,Stazione,PROVAGLIO D'ISEO,1,Interno  confine regionale,POINT (580402.1673334514 5054137.102317424)
256,1,Stazione,DESENZANO DEL GARDA-SIRMIONE,1,Interno  confine regionale,POINT (620053.1670555901 5035524.093310276)
257,1,Stazione,CARAVAGGIO,1,Interno  confine regionale,POINT (550260.947313895 5037504.599442311)
258,2,Scalo,SEGRATE,1,Interno  confine regionale,POINT (520496.69768787763 5035649.691024994)
259,1,Stazione,SORBOLO,2,Esterno confine regionale,POINT (614177.2374723433 4966194.377382175)
260,1,Stazione,CHIOZZOLA,2,Esterno confine regionale,POINT (610156.3119304975 4964357.44610327)
261,1,Stazione,DONNA,2,Esterno confine regionale,POINT (477434.42305602896 4962642.712443037)
262,1,Stazione,PARMA,2,Esterno confine regionale,POINT (605124.6537748653 4962505.510047537)
263,1,Stazione,CAMPOSANTO,2,Esterno confine regionale,POINT (669585.5615955207 4961405.87768509)
264,1,Stazione,POZZOLO FORMIGARO,2,Esterno confine regionale,POINT (482923.9126669981 4960414.778536264)
265,1,Stazione,CARPI,2,Esterno confine regionale,POINT (649671.7053629442 4960255.975843711)
266,1,Stazione,S.ILARIO D'ENZA,2,Esterno confine regionale,POINT (614764.8063545154 4957637.12590556)
267,1,Stazione,NOVI LIGURE,2,Esterno confine regionale,POINT (482701.9408340317 4957040.342008454)
268,1,Stazione,CADE`,2,Esterno confine regionale,POINT (620270.5599853286 4955200.19443015)
269,1,Stazione,CREVALCORE,2,Esterno confine regionale,POINT (670481.3851077592 4953719.036790689)
270,1,Stazione,REGGIO NELL'EMILIA,2,Esterno confine regionale,POINT (630224.7994477634 4950303.823244506)
271,1,Stazione,ANDERMATT,2,Esterno confine regionale,POINT (468451.45891131466 5167879.335847624)
272,1,Stazione,GIUBIASCO,2,Esterno confine regionale,POINT (500226.2547822652 5113375.880785197)
273,1,Stazione,LOCARNO,2,Esterno confine regionale,POINT (484659.6162437496 5113241.126610915)
274,1,Stazione,RANZO-S.ABBONDIO,2,Esterno confine regionale,POINT (483315.94576593733 5106969.704531919)
275,1,Stazione,PINO-TRONZANO,1,Interno  confine regionale,POINT (480042.96930078894 5105054.2586421715)
276,1,Stazione,MACCAGNO,1,Interno  confine regionale,POINT (479706.5186877726 5098731.320218414)
277,1,Stazione,PORTO VALTRAVAGLIA,1,Interno  confine regionale,POINT (477301.9375683755 5090949.909098494)
278,1,Stazione,CALDE`,1,Interno  confine regionale,POINT (474374.43009087164 5087983.952428691)
279,1,Stazione,PORTO CERESIO,1,Interno  confine regionale,POINT (492192.6148603208 5083163.491392491)
280,1,Stazione,SAMOLACO,1,Interno  confine regionale,POINT (532686.7895104893 5121559.766933298)
281,1,Stazione,PIONA,1,Interno  confine regionale,POINT (527111.8403648053 5108037.020268713)
282,1,Stazione,ROGOLO,1,Interno  confine regionale,POINT (537448.5649914677 5109510.831596014)
283,1,Stazione,BELLANO-TARTAVALLE T.,1,Interno  confine regionale,POINT (523455.9601123314 5098531.221540725)
284,1,Stazione,VARENNA-ESINO,1,Interno  confine regionale,POINT (522180.986156182 5095688.792886304)
285,1,Stazione,FORNO ALLIONE,1,Interno  confine regionale,POINT (601718.54774147 5104794.957863926)
286,1,Stazione,CETO-CERVENO,1,Interno  confine regionale,POINT (603948.741277755 5094697.118353268)
287,1,Stazione,LAVENO-MOMBELLO,1,Interno  confine regionale,POINT (470517.0400793012 5083658.01031981)
288,1,Stazione,NIARDO-LOSINE,1,Interno  confine regionale,POINT (602248.7520149029 5091753.697989534)
289,1,Stazione,CIVIDATE-MALEGNO,1,Interno  confine regionale,POINT (598219.0600381943 5088641.300998843)
290,1,Stazione,COGNO-ESINE,1,Interno  confine regionale,POINT (596081.5841222465 5086940.856335986)
291,1,Stazione,ERBANNO-ANGONE,1,Interno  confine regionale,POINT (592762.5993081863 5083718.947961134)
292,1,Stazione,COSIO-TRAONA,1,Interno  confine regionale,POINT (540460.5053171945 5109331.783607165)
293,1,Stazione,ARDENNO-MASINO,1,Interno  confine regionale,POINT (550228.3561852139 5112144.080441335)
294,1,Stazione,S.PIETRO-BERBENNO,1,Interno  confine regionale,POINT (557094.7595007946 5112173.996717559)
295,1,Stazione,CASTIONE ANDEVENNO,1,Interno  confine regionale,POINT (561650.9670692297 5112350.957707219)
296,1,Stazione,POGGIRIDENTI-TRESIVIO-PIATEDA,1,Interno  confine regionale,POINT (572035.2660903302 5113139.950049738)
297,1,Stazione,PONTE IN VALTELLINA,1,Interno  confine regionale,POINT (575328.6073156185 5112615.968213927)
298,1,Stazione,TRESENDA-APRICA-TEGLIO,1,Interno  confine regionale,POINT (583602.4927420804 5112707.966460835)
299,1,Stazione,S.GIACOMO DI TEGLIO,1,Interno  confine regionale,POINT (579974.7979532352 5112273.981200146)
300,1,Stazione,COCQUIO TREVISAGO,1,Interno  confine regionale,POINT (475914.75253211777 5078387.052018249)
301,1,Stazione,BARASSO-COMERIO,1,Interno  confine regionale,POINT (479442.9115313909 5076094.087574474)
302,1,Stazione,MOROSOLO-CASCIAGO,1,Interno  confine regionale,POINT (480685.258819039 5075592.599907616)
303,1,Stazione,VARESE NORD,1,Interno  confine regionale,POINT (487404.00067865086 5073208.66034044)
304,1,Stazione,INDUNO OLONA,1,Interno  confine regionale,POINT (487418.0530711775 5076932.607500795)
305,1,Stazione,BISUSCHIO-VIGGIU`,1,Interno  confine regionale,POINT (491245.8031742813 5079563.064523816)
306,1,Stazione,LEGGIUNO-MONVALLE,1,Interno  confine regionale,POINT (471277.32714617404 5079093.559823161)
